Plant ID,index,plot,plant,kind,center.x(m),center.y(m),min_rect_width(m),min_rect_length(m),hover_area(m2),PLA(cm2),centroid.x(m),centroid.y(m),long_axis(m),short_axis(m),orient_deg2xaxis,percentile_height(m)
23,3,S04 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,-5.702213874,-2.44021998,0.466283903,0.488790291,0.179039293,361.6666667,-5.699302536,-2.443938209,0.489365604,0.391786097,-76.75055354,0.110526163
24,4,S04 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,-5.323222126,-2.289343811,0.224327247,0.214033008,0.038617587,159.3333333,-5.320317926,-2.288948377,0.218765769,0.201426065,-25.82818485,0.190671546
25,5,S04 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,-5.21811135,-2.683287681,0.188843365,0.20655883,0.027676105,117.5555556,-5.221286292,-2.692624464,0.212276286,0.145499669,-80.54629594,0.172139071
26,0,S05 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,0.003929138,-1.056650147,0.349558437,0.352255673,0.091740376,263.2222222,0.00401358,-1.058915663,0.359836795,0.279940492,9.990713844,0.122578753
27,1,S05 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,0.307058842,-0.742503093,0.332437582,0.420172169,0.107792226,329,0.301807102,-0.745552431,0.430920481,0.268837653,12.5407656,0.147721766
28,2,S05 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,0.452704782,-1.095590966,0.214932822,0.28728326,0.048399255,158,0.443127147,-1.102823022,0.268236815,0.175752338,2.152895357,0.168963583
29,3,S05 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,0.813540104,-0.921952387,0.389469131,0.283547503,0.088231381,225.8888889,0.81577892,-0.925482477,0.370095537,0.266363122,57.30728414,0.075875687
30,4,S05 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,0.970574868,-1.24481145,0.441436219,0.279047927,0.087738637,248.4444444,0.969763218,-1.24089358,0.386677257,0.246576273,55.11634078,0.111176573
31,5,S05 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,1.300574396,-1.007449449,0.230431288,0.404167643,0.072609437,206.6666667,1.295788638,-1.002310491,0.431876262,0.190113987,-70.08257704,0.180563151
32,0,S06 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,3.37080903,-1.882061441,0.360653816,0.342893566,0.094759936,291.7777778,3.36613545,-1.884568342,0.340972143,0.291641924,72.88350659,0.167645686
33,1,S06 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,3.738032549,-2.110068363,0.311091355,0.382311374,0.086134174,238.2222222,3.736452682,-2.118212932,0.364290786,0.306865418,-36.88475791,0.106196845
34,2,S06 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,4.027277857,-1.852443641,0.28161738,0.23453091,0.049388547,167.4444444,4.02692606,-1.849611597,0.274108146,0.181042015,65.15158075,0.187079641
35,3,S06 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,4.230534115,-2.18150469,0.378662604,0.301928091,0.085057249,221.4444444,4.233199816,-2.178050611,0.378083557,0.250159238,84.76244125,0.110517734
36,4,S06 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,4.416642048,-1.795027351,0.290409383,0.391345908,0.081394786,261,4.416696748,-1.794878774,0.379237895,0.246264794,-70.23111467,0.148642135
37,5,S06 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,4.621492628,-2.126461618,0.312227935,0.249647089,0.062832901,218,4.624538114,-2.124502604,0.289055772,0.235563737,77.45604509,0.185071399
38,0,S07 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,1.003030633,-2.29350822,0.322850998,0.363206062,0.085890883,203.7777778,1.009574234,-2.306034149,0.375675497,0.272803166,-35.72418686,0.172315835
39,1,S07 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,1.275377923,-1.978415809,0.383700076,0.269751122,0.089880373,266,1.268859691,-1.986794801,0.38563989,0.227399703,57.14830782,0.136734508
40,2,S07 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,1.530741003,-2.399652823,0.309168774,0.35784099,0.068043065,184.7777778,1.528542606,-2.40439654,0.312735023,0.306649997,-71.10238841,0.17170534
41,3,S07 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,1.838010392,-2.194031491,0.288971933,0.393424875,0.080128791,198.2222222,1.834319266,-2.193091074,0.358497173,0.247642408,-31.0937813,0.074642533
42,4,S07 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,2.275653843,-2.343270421,0.387449518,0.448691899,0.148637591,359.6666667,2.269125982,-2.34946431,0.417779803,0.36090905,-84.44738483,0.068515147
43,5,S07 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,2.679084025,-2.119073694,0.24570465,0.251122174,0.050796161,194.8888889,2.676941264,-2.117463727,0.226786242,0.225743477,-25.73738001,0.171479919
44,0,S08 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,0.144442076,-1.545593483,0.348792635,0.270325394,0.070584589,240.7777778,0.138889228,-1.548319144,0.34452565,0.227130716,-13.64113343,0.139773719
45,1,S08 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,0.461446328,-1.821705389,0.326358944,0.551903486,0.143596178,333.1111111,0.455003238,-1.828297907,0.534047928,0.284357742,-34.72101464,0.036310875
46,2,S08 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,0.814887334,-1.589133877,0.192095662,0.349335208,0.048932913,165.5555556,0.813680906,-1.580504157,0.267316332,0.175061244,-29.17509998,0.179892795
47,3,S08 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,1.046846873,-1.820122264,0.328045741,0.355078059,0.086936816,219.3333333,1.049337803,-1.819111514,0.365766746,0.267334414,77.64344335,0.098712306
48,4,S08 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,1.287745628,-1.514287797,0.269506041,0.310537243,0.065713521,190.3333333,1.292543346,-1.51623545,0.327885437,0.230672161,-52.26725587,0.171618792
49,5,S08 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,1.488862748,-1.871539757,0.292017273,0.289904511,0.060441609,186.5555556,1.494104321,-1.864902886,0.293036422,0.243817801,-34.70312821,0.183820309
50,0,S09 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,0.008991434,-1.70355977,0.324668729,0.383806972,0.087034349,221.5555556,0.005719176,-1.704428945,0.403787832,0.277480764,78.86695479,0.079570685
51,1,S09 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,0.426976348,-1.810051253,0.296140964,0.252196413,0.059279696,196.3333333,0.424735487,-1.811068972,0.289420166,0.226810517,68.22733012,0.142300457
52,2,S09 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,0.703772521,-1.593265342,0.233295025,0.231127713,0.043506264,149.2222222,0.703842313,-1.58406286,0.231258063,0.196838879,-30.62118858,0.131765699
53,3,S09 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,0.862799255,-1.888084824,0.259965093,0.175238986,0.030825801,105.7777778,0.858098024,-1.886291225,0.258916109,0.139468562,63.46011418,0.190133055
