,Plot,Plant_id,kind,x(m),y(m),width(m),length(m),hover_area(m2),height(m),convex_volume(m3),voxel_volume(m3),index
0,S34 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,2.654616680476176,-2.4154615090965073,0.23210436371030063,0.13947325234431096,0.027159551855987736,0.2785453796386719,0.006103580968343928,0.0001559305991865688,0
1,S34 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,2.9354329334285048,-2.0758433030485772,0.2579630305482511,0.26256529071790746,0.0518620159965053,0.20675086975097656,0.008086444067109663,0.00015278979410103733,3
2,S34 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,3.0745181156483006,-2.4522575475436783,0.24194354310704497,0.11871977025801872,0.02323263746438896,0.16816329956054688,0.0032216690151330883,6.942798764968758e-05,1
3,S34 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,3.3353967005486456,-2.253390729023848,0.20011706714491284,0.2054955333255042,0.031186655947948325,0.14473342895507812,0.003072808646264478,4.4610165220962394e-05,2
4,S34 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,3.6376636813428247,-2.2452504282092494,0.10503026543934135,0.1907167026744343,0.01618535518889529,0.18137168884277344,0.0020486105846907335,4.6060874747523144e-05,4
5,S34 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,6,0,3.904025968595239,-2.443997007520184,0.09438059058504678,0.18352851429477157,0.013884429969039049,0.2325878143310547,0.002236302072677808,3.0157644008702723e-05,5
6,S34 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,7,0,4.049225156842751,-2.1273754283709883,0.15168869776856342,0.12499929930001752,0.0138477999544762,0.20206832885742188,0.0020699421979412957,3.6214858893815806e-05,6
